Entry	Gene names  (ordered locus )	Gene names  (primary )	Cross-reference (PDB)
Q9H9K5		ERVMER34-1	
Q53XC5		BMP4	
P31689		DNAJA1	2LO1;2M6Y;6E8M;
P08246		ELANE	1B0F;1H1B;1HNE;1PPF;1PPG;2RG3;2Z7F;3Q76;3Q77;4NZL;4WVP;5A09;5A0A;5A0B;5A0C;5A8X;5A8Y;5A8Z;5ABW;6F5M;
P63244		RACK1	4AOW;4UG0;4V6X;5A2Q;5AJ0;5FLX;5LKS;5OA3;5T2C;5VYC;6EK0;6FEC;6G18;6G51;6G53;6G5H;6G5I;
P10144		GZMB	1FQ3;1IAU;
P25685		DNAJB1	1HDJ;2QLD;3AGX;3AGY;3AGZ;4WB7;
Q6P2E9		EDC4	
O60271		SPAG9	2W83;
Q96B97		SH3KBP1	2BZ8;2K6D;2K9G;2N64;2O2O;2YDL;5ABS;
O95298		NDUFC2	5XTC;5XTD;5XTH;5XTI;
Q9UBS4		DNAJB11	
P29320		EPHA3	2GSF;2QO2;2QO7;2QO9;2QOB;2QOC;2QOD;2QOF;2QOI;2QOK;2QOL;2QON;2QOO;2QOQ;3DZQ;3FXX;3FY2;4G2F;4GK2;4GK3;4GK4;4L0P;4P4C;4P5Q;4P5Z;4TWN;4TWO;
P61916		NPC2	5KWY;
Q9NYL2		MAP3K20	5HES;5X5O;
Q05086		UBE3A	1C4Z;1D5F;1EQX;2KR1;4GIZ;4XR8;
O95905		ECD	
O95273		CCNDBP1	3AY5;
P15822		HIVEP1	1BBO;3ZNF;4ZNF;
O43166		SIPA1L1	
Q9UDY4		DNAJB4	
Q12802		AKAP13	2DRN;2LG1;4D0N;4D0O;6BCA;
P22897		MRC1	1EGG;1EGI;5XTS;5XTW;
Q6FHJ7		SFRP4	
Q969K3		RNF34	
O75326		SEMA7A	3NVQ;
Q5K4E3		PRSS36	
Q01860		POU5F1	
P24666		ACP1	1XWW;3N8I;4Z99;4Z9A;4Z9B;5JNR;5JNS;5JNT;5KQG;5KQL;5KQM;5KQP;5PNT;
P11117		ACP2	
P15309		ACPP	1CVI;1ND5;1ND6;2HPA;2L3H;2L77;2L79;2MG0;3PPD;
Q07869		PPARA	1I7G;1K7L;1KKQ;2NPA;2P54;2REW;2ZNN;3ET1;3FEI;3G8I;3KDT;3KDU;3SP6;3VI8;4BCR;4CI4;5AZT;5HYK;
P37231		PPARG	1FM6;1FM9;1I7I;1K74;1KNU;1NYX;1PRG;1RDT;1WM0;1ZEO;1ZGY;2ATH;2F4B;2FVJ;2G0G;2G0H;2GTK;2HFP;2HWQ;2HWR;2I4J;2I4P;2I4Z;2OM9;2P4Y;2POB;2PRG;2Q59;2Q5P;2Q5S;2Q61;2Q6R;2Q6S;2Q8S;2QMV;2VSR;2VST;2VV0;2VV1;2VV2;2VV3;2VV4;2XKW;2YFE;2ZK0;2ZK1;2ZK2;2ZK3;2ZK4;2ZK5;2ZK6;2ZNO;2ZVT;3ADS;3ADT;3ADU;3ADV;3ADW;3ADX;3AN3;3AN4;3B0Q;3B0R;3B1M;3B3K;3BC5;3CDP;3CDS;3CS8;3CWD;3D6D;3DZU;3DZY;3E00;3ET0;3ET3;3FEJ;3FUR;3G9E;3GBK;3H0A;3HO0;3HOD;3IA6;3K8S;3KMG;3LMP;3NOA;3OSI;3OSW;3PBA;3PO9;3PRG;3QT0;3R5N;3R8A;3R8I;3S9S;3SZ1;3T03;3TY0;3U9Q;3V9T;3V9V;3V9Y;3VJH;3VJI;3VN2;3VSO;3VSP;3WJ4;3WJ5;3WMH;3X1H;3X1I;4A4V;4A4W;4CI5;4E4K;4E4Q;4EM9;4EMA;4F9M;4FGY;4HEE;4JAZ;4JL4;4L96;4L98;4O8F;4OJ4;4PRG;4PVU;4PWL;4R06;4R2U;4R6S;4XLD;4XTA;4XUH;4XUM;4Y29;4YT1;5AZV;5DSH;5DV3;5DV6;5DV8;5DVC;5DWL;5F9B;5GTN;5GTO;5GTP;5HZC;5JI0;5LSG;5TTO;5TWO;5U5L;5UGM;5WQX;5WR0;5WR1;5Y2O;5Y2T;5YCN;5YCP;5Z5S;5Z6S;6AD9;6AN1;6AUG;6AVI;6C1I;6C5Q;6C5T;6ENQ;6F2L;
P05187		ALPP	1EW2;1ZEB;1ZED;1ZEF;2GLQ;3MK0;3MK1;3MK2;
Q9BZG2		ACP4	
Q9H3Y8		PPDPF	
Q9UKL6		PCTP	1LN1;1LN2;1LN3;
P45877		PPIC	2ESL;
Q08752		PPID	
